City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
175,afaahiti,-17.75,-149.2833,24.93,80,77,4.72,PF,1684516196
176,severo-yeniseyskiy,60.3725,93.0408,1.47,99,100,1.73,RU,1684516196
177,esperanza,19.5847,-70.9849,32.32,65,0,3.13,DO,1684516196
178,kolokani,13.5728,-8.0339,35.5,31,90,1.49,ML,1684516196
179,qaqortoq,60.7167,-46.0333,0.97,93,84,7.94,GL,1684516197
180,badiyah,22.45,58.8,36.36,25,68,0.88,OM,1684516197
181,crane,31.3974,-102.3501,29.18,30,30,2.94,US,1684516197
182,port alfred,-33.5906,26.891,12.32,88,53,0.57,ZA,1684516197
183,oamaru,-45.0784,170.9801,9.65,95,100,2.63,NZ,1684516197
184,nogliki,51.8333,143.1667,1.87,89,84,1.98,RU,1684516198
185,lapseki,40.3442,26.6856,18.88,73,22,0.61,TR,1684516167
186,taunggyi,20.7833,97.0333,19.69,63,0,1.08,MM,1684516198
187,olonkinbyen,70.9221,-8.7187,1.97,99,98,3.03,SJ,1684516198
188,fauske,67.2588,15.3918,9.41,87,100,2.18,NO,1684516198
189,ust-nera,64.5667,143.2,-0.71,82,67,1.11,RU,1684516199
190,metlaoui,34.3208,8.4016,26.83,38,6,7.95,TN,1684516199
191,kununurra,-15.7667,128.7333,12.99,71,37,0.0,AU,1684515977
192,kalianget,-7.05,113.9333,26.82,77,91,5.11,ID,1684516199
193,qamdo,31.1667,97.2333,3.46,78,100,1.15,CN,1684516200
194,touros,-5.1989,-35.4608,28.97,71,53,5.61,BR,1684516200
195,dunedin,-45.8742,170.5036,10.45,96,100,1.79,NZ,1684516200
196,strezhevoy,60.7333,77.5889,13.09,47,69,2.5,RU,1684515654
197,san andres,12.5847,-81.7006,31.01,66,20,5.66,CO,1684515657
198,reggane,26.7158,0.1714,31.38,12,7,9.68,DZ,1684516201
199,dunhua,43.3725,128.2425,11.16,60,100,3.2,CN,1684516201
200,katsuren-haebaru,26.3369,127.8719,24.01,88,100,2.57,JP,1684516201
201,talnakh,69.4865,88.3972,2.34,100,100,1.87,RU,1684516202
202,arkhangel'sk,64.5401,40.5433,5.85,70,47,3.0,RU,1684515669
203,gouyave,12.1646,-61.7296,27.22,79,10,7.95,GD,1684516202
204,yellowknife,62.456,-114.3525,12.21,50,100,7.54,CA,1684516189
205,chaplygin,53.2432,39.9629,15.0,84,86,6.51,RU,1684516203
206,hit,33.6416,42.8251,30.88,23,73,3.03,IQ,1684515894
207,cestos city,5.46,-9.5828,26.27,85,100,4.01,LR,1684516203
208,nuku'alofa,-21.1333,-175.2,25.63,90,100,8.7,TO,1684516203
209,klyuchi,52.2667,79.1667,12.43,40,0,5.86,RU,1684516204
210,alaghsas,17.0187,8.0168,43.94,15,0,3.09,NE,1684515699
211,villa gesell,-37.2639,-56.973,16.7,56,92,5.83,AR,1684516026
212,minas,-34.3759,-55.2377,22.8,53,47,2.83,UY,1684516204
